#OTUID	taxonomy	USEARCH	SINTAX	UTAX
OTU2101	GS|100.0|BOLD:ABA8261_KR656664;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Mycetophilidae,g:Mycetophila,s:Mycetophila exstincta	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Mycetophilidae,g:Mycetophila,s:Mycetophila exstincta	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Mycetophilidae,g:Mycetophila,s:Mycetophila exstincta	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2102	US|1.0000|BOLD:ACG1779_NA;k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera
OTU2103	GS|100.0|BOLD:AAF6281_JF434433;k:Animalia,p:Arthropoda,c:Insecta,o:Trichoptera,f:Glossosomatidae,g:Protoptila,s:Protoptila maculata	k:Animalia,p:Arthropoda,c:Insecta,o:Trichoptera,f:Glossosomatidae,g:Protoptila,s:Protoptila maculata	k:Animalia,p:Arthropoda,c:Insecta,o:Trichoptera,f:Glossosomatidae,g:Protoptila,s:Protoptila maculata	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera
OTU2104	SS|0.9700|BOLD:ACA8623_KR792762;k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera,f:Ichneumonidae	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera,f:Ichneumonidae	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera,f:Ichneumonidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2105	US|1.0000|None;k:Animalia,p:Chordata,c:Aves,o:Passeriformes	No hit	k:Animalia	k:Animalia,p:Chordata,c:Aves,o:Passeriformes
OTU2106	US|1.0000|BOLD:AAN4488_KP845857;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Thysanoptera,f:Phlaeothripidae,g:Haplothrips,s:Haplothrips tenuipennis	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2107	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	No hit	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2108	US|1.0000|BOLD:AAN4488_KP845857;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Thysanoptera,f:Phlaeothripidae,g:Haplothrips,s:Haplothrips tenuipennis	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2109	US|1.0000|BOLD:ACY0024_NA;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2110	US|1.0000|None;k:Animalia,p:Chordata,c:Amphibia,o:Anura	No hit	k:Animalia	k:Animalia,p:Chordata,c:Amphibia,o:Anura
