#OTUID	taxonomy	USEARCH	SINTAX	UTAX
OTU2093	US|1.0000|None;k:Animalia,p:Chordata,c:Actinopterygii,o:Siluriformes	No hit	k:Animalia,p:Arthropoda	k:Animalia,p:Chordata,c:Actinopterygii,o:Siluriformes
OTU2094	US|1.0000|None;k:Animalia,p:Arthropoda,c:Arachnida,o:Mesostigmata	No hit	k:Animalia,p:Chordata	k:Animalia,p:Arthropoda,c:Arachnida,o:Mesostigmata
OTU2095	US|1.0000|None;k:Animalia,p:Chordata,c:Actinopterygii,o:Anguilliformes	No hit	k:Animalia	k:Animalia,p:Chordata,c:Actinopterygii,o:Anguilliformes
OTU2096	GS|100.0|BOLD:AAF9785_MF878430;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Empididae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Empididae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Empididae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2097	GS|100.0|BOLD:ACA9700_NA;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2098	GS|100.0|BOLD:AAL7327_KR289893;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Chironomidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Chironomidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Chironomidae	k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera
OTU2099	US|1.0000|None;k:Animalia,p:Chordata,c:Actinopterygii,o:Pleuronectiformes	No hit	k:Animalia	k:Animalia,p:Chordata,c:Actinopterygii,o:Pleuronectiformes
OTU2100	US|1.0000|BOLD:ACK9844_NA;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2101	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera	No hit	k:Animalia	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera
OTU2102	GS|100.0|BOLD:ABA8261_KR656664;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Mycetophilidae,g:Mycetophila,s:Mycetophila exstincta	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Mycetophilidae,g:Mycetophila,s:Mycetophila exstincta	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Mycetophilidae,g:Mycetophila,s:Mycetophila exstincta	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
