Fecal_Sample_nb,Species,Location,Site,Nest,Exp_Year,Adult_or_Nestling,Capture_Date,cap_doy,Age
P19NB22,,,,neg_control,neg_control,neg_control,,neg_control,
P19NB23,,,,neg_control,neg_control,neg_control,,neg_control,
P19NB24,,,,neg_control,neg_control,neg_control,,neg_control,
P19NB25,,,,neg_control,neg_control,neg_control,,neg_control,
P19NB26,,,,neg_control,neg_control,neg_control,,neg_control,
P19NB3,,,,neg_control,neg_control,neg_control,,neg_control,
P19NB4,,,,neg_control,neg_control,neg_control,,neg_control,
P19NB5,,,,neg_control,neg_control,neg_control,,neg_control,
P19NB6,,,,neg_control,neg_control,neg_control,,neg_control,
P19NB7,,,,neg_control,neg_control,neg_control,,neg_control,
P19NB8,,,,neg_control,neg_control,neg_control,,neg_control,
P19NB9,,,,neg_control,neg_control,neg_control,,neg_control,
