"","Individual_Band","Exp_Year","Adult_or_Nestling","Sex","Capture_Date","Species","Location","Site","Nest","Capture_Number","Age","Mass","Bill.Head","Flat_Wing","Current_Brood_Size","Nestling_Fate","sampleID","Notes","site_box_year","Nest_Experiment","Nest_Treatment","Day6_Brood_Mass","Brood_Size_Day6","Nest_Fate","avg_day6_mass","exp_treat"
"26","272106913","2019","Adult","F","25-May-19","TRES","Ithaca","Unit_2","120","1","ASY",22,29.2,122.5,NA,"","P19N020","","Unit_2_120_2019","Color_Stress","Cont_Con",71,7,"Fledged",10.1428571428571,"Color_Stress_Cont_Con"
"27","272107805","2019","Adult","F","25-May-19","TRES","Ithaca","Unit_2","35","2","ASY",19.75,NA,NA,NA,"","","","Unit_2_35_2019","Color_Stress","Pred_Dul",55,5,"Fledged",11,"Color_Stress_Pred_Dul"
"28","278172097","2019","Adult","F","25-May-19","TRES","Ithaca","Unit_1","306","1","SY",22,20.3,117,NA,"","P19N019","","Unit_1_306_2019","","Control",NA,NA,"Fledged",NA,"Control"
"29","212110285","2019","Adult","F","26-May-19","TRES","Ithaca","Unit_1","335","1","ASY",25,28.8,115,NA,"","P19N025","","Unit_1_335_2019","","Control",NA,NA,"Fledged",NA,"Control"
"30","240134898","2019","Adult","F","26-May-19","TRES","Ithaca","Unit_4","97","1","ASY",24.5,27.5,113,NA,"","P19N024","Old PIT tag removed to put on life tag with glued new PIT tag.","Unit_4_97_2019","Light","Light",67.27,5,"Fledged",13.454,"Light_Light"
"31","263114113","2019","Adult","F","26-May-19","TRES","Ithaca","Unit_4","94","1","ASY",24,28.1,118,NA,"","P19N023","Old PIT tag removed to put on life tag. Microbiome swab not inserted fully.","Unit_4_94_2019","Light","Light_Control",64.85,5,"Fledged",12.97,"Light_Light_Control"
"32","272107217","2019","Adult","F","26-May-19","TRES","Ithaca","Unit_2","116","1","ASY",23.5,29.9,117,NA,"","P19N022","","Unit_2_116_2019","Color_Stress","Cont_Con",58,5,"Fledged",11.6,"Color_Stress_Cont_Con"
"33","272107786","2019","Adult","F","26-May-19","TRES","Ithaca","Unit_2","103","2","ASY",23.25,NA,NA,NA,"","","","Unit_2_103_2019","Color_Stress","Cont_Con",54,6,"Fledged",9,"Color_Stress_Cont_Con"
"34","278172145","2019","Adult","F","26-May-19","TRES","Ithaca","Unit_2","36","2","ASY",21,NA,NA,NA,"","","","Unit_2_36_2019","Color_Stress","Pred_Dul",NA,NA,"Abandoned",NA,"Color_Stress_Pred_Dul"
"35","88004570","2019","Adult","F","27-May-19","TRES","Ithaca","Unit_2","121","2","ASY",23,NA,NA,NA,"","P19N029","","Unit_2_121_2019","Color_Stress","Cont_Dul",8,1,"Fledged",8,"Color_Stress_Cont_Dul"
"36","212110288","2019","Adult","F","27-May-19","TRES","Ithaca","Unit_1","338","1","ASY",21,27.8,116,NA,"","P19N033","","Unit_1_338_2019","","Control",NA,NA,"Fledged",NA,"Control"
"37","232146942","2019","Adult","F","27-May-19","TRES","Ithaca","Unit_1","423","1","ASY",21,29.1,117,NA,"","P19N032","","Unit_1_423_2019","","Control",NA,NA,"Fledged",NA,"Control"
"38","262125490","2019","Adult","F","27-May-19","TRES","Ithaca","Unit_1","311","1","ASY",23,27.8,120,NA,"","P19N031","","Unit_1_311_2019","","Control",NA,NA,"Fledged",NA,"Control"
