"","Individual_Band","Exp_Year","Adult_or_Nestling","Sex","Capture_Date","Species","Location","Site","Nest","Capture_Number","Age","Mass","Bill.Head","Flat_Wing","Current_Brood_Size","Nestling_Fate","sampleID","Notes","site_box_year","Nest_Experiment","Nest_Treatment","Day6_Brood_Mass","Brood_Size_Day6","Nest_Fate","avg_day6_mass","exp_treat"
"231","262125966","2019","Adult","M","10-Jun-19","TRES","Ithaca","Unit_1","81","1","AHY",21.5,29.2,123,NA,"","P19N181","","Unit_1_81_2019","Color_Stress","Cont_Con",60,5,"Fledged",12,"Color_Stress_Cont_Con"
"232","263114113","2019","Adult","F","10-Jun-19","TRES","Ithaca","Unit_4","94","3","ASY",21,NA,NA,NA,"","","","Unit_4_94_2019","Light","Light_Control",64.85,5,"Fledged",12.97,"Light_Light_Control"
"233","272106628","2019","Adult","M","10-Jun-19","TRES","Ithaca","Unit_1","47","1","AHY",21.5,29,120,NA,"","P19N180","","Unit_1_47_2019","Color_Stress","Cont_Con",66,5,"Died",13.2,"Color_Stress_Cont_Con"
"234","272107809","2019","Adult","F","10-Jun-19","TRES","Ithaca","Unit_1","81","3","ASY",19,28.3,117,NA,"","P19N183","","Unit_1_81_2019","Color_Stress","Cont_Con",60,5,"Fledged",12,"Color_Stress_Cont_Con"
"235","278171870","2019","Adult","F","10-Jun-19","TRES","Ithaca","Unit_2","12","3","SY",19.5,28.8,114,NA,"","P19N176","Bolus: Y, day six size: 59 grams, 5 nestlings","Unit_2_12_2019","Color_Stress","Pred_Dul",59,5,"Died",11.8,"Color_Stress_Pred_Dul"
"236","278172153","2019","Adult","F","10-Jun-19","TRES","Ithaca","Unit_2","127","3","SY",17,28.2,113,NA,"","P19N178","BOLUS COLLECTED- DAY SIX SIZE: 60 GRAMS, 5 NESTLINGS","Unit_2_127_2019","Color_Stress","Pred_Con",60,5,"Died",12,"Color_Stress_Pred_Con"
"237","278172162","2019","Adult","F","10-Jun-19","TRES","Ithaca","Unit_2","34","2","SY",21,NA,NA,NA,"","P19N182","","Unit_2_34_2019","Color_Stress","Cont_Dul",50,4,"Fledged",12.5,"Color_Stress_Cont_Dul"
"238","278172167","2019","Adult","M","10-Jun-19","TRES","Ithaca","Unit_2","12","1","AHY",19,28.6,117,NA,"","P19N177","","Unit_2_12_2019","Color_Stress","Pred_Dul",59,5,"Died",11.8,"Color_Stress_Pred_Dul"
"239","278172168","2019","Nestling","Unknown","10-Jun-19","TRES","Ithaca","Unit_2","35",NA,"12",19.25,24.9,50,5,"Fledged","P19N187","","Unit_2_35_2019","Color_Stress","Pred_Dul",55,5,"Fledged",11,"Color_Stress_Pred_Dul"
"240","278172224","2019","Adult","F","10-Jun-19","TRES","Ithaca","Unit_1","47","3","SY",19.25,28.3,111,NA,"","P19N179","","Unit_1_47_2019","Color_Stress","Cont_Con",66,5,"Died",13.2,"Color_Stress_Cont_Con"
"241","278172419","2019","Adult","F","10-Jun-19","TRES","Ithaca","Turkey_Hill","116","1","SY",19.5,26.7,116,NA,"","P19N185","","Turkey_Hill_116_2019","Light","Light_Control",NA,NA,"Abandoned",NA,"Light_Light_Control"
"242","278172420","2019","Adult","M","10-Jun-19","TRES","Ithaca","Turkey_Hill","3","1","AHY",21,29.3,119,NA,"","P19N184","","Turkey_Hill_3_2019","Light","Light",65.25,5,"Fledged",13.05,"Light_Light"
"243","281128714","2019","Nestling","Unknown","10-Jun-19","TRES","Ithaca","Unit_1","349",NA,"12",22,26.3,54,2,"Fledged","","","Unit_1_349_2019","","Control",NA,NA,"Fledged",NA,"Control"
"244","281128715","2019","Nestling","Unknown","10-Jun-19","TRES","Ithaca","Unit_1","349",NA,"12",23.75,26.1,59,2,"Fledged","","","Unit_1_349_2019","","Control",NA,NA,"Fledged",NA,"Control"
"245","281128716","2019","Nestling","Unknown","10-Jun-19","TRES","Ithaca","Unit_2","35",NA,"12",19.75,25.2,51,5,"Fledged","","","Unit_2_35_2019","Color_Stress","Pred_Dul",55,5,"Fledged",11,"Color_Stress_Pred_Dul"
"246","281128717","2019","Nestling","Unknown","10-Jun-19","TRES","Ithaca","Unit_2","35",NA,"12",17,25.2,52,5,"Fledged","","","Unit_2_35_2019","Color_Stress","Pred_Dul",55,5,"Fledged",11,"Color_Stress_Pred_Dul"
"247","281128718","2019","Nestling","Unknown","10-Jun-19","TRES","Ithaca","Unit_2","35",NA,"12",19.5,24.7,45,5,"Died","P19N188","","Unit_2_35_2019","Color_Stress","Pred_Dul",55,5,"Fledged",11,"Color_Stress_Pred_Dul"
"248","281128719","2019","Nestling","Unknown","10-Jun-19","TRES","Ithaca","Unit_2","35",NA,"12",17,26.7,52,5,"Died","","","Unit_2_35_2019","Color_Stress","Pred_Dul",55,5,"Fledged",11,"Color_Stress_Pred_Dul"
"249","281128720","2019","Nestling","Unknown","10-Jun-19","TRES","Ithaca","Unit_2","103",NA,"12",22,26.3,48,6,"Fledged","","","Unit_2_103_2019","Color_Stress","Cont_Con",54,6,"Fledged",9,"Color_Stress_Cont_Con"
"250","281128721","2019","Nestling","Unknown","10-Jun-19","TRES","Ithaca","Unit_2","103",NA,"12",22,24.7,51,6,"Fledged","","","Unit_2_103_2019","Color_Stress","Cont_Con",54,6,"Fledged",9,"Color_Stress_Cont_Con"
"251","281128722","2019","Nestling","Unknown","10-Jun-19","TRES","Ithaca","Unit_2","103",NA,"12",19.5,24.4,45,6,"Fledged","P19N189","","Unit_2_103_2019","Color_Stress","Cont_Con",54,6,"Fledged",9,"Color_Stress_Cont_Con"
"252","281128723","2019","Nestling","Unknown","10-Jun-19","TRES","Ithaca","Unit_2","103",NA,"12",21,25.7,48,6,"Fledged","P19N190","","Unit_2_103_2019","Color_Stress","Cont_Con",54,6,"Fledged",9,"Color_Stress_Cont_Con"
"253","281128724","2019","Nestling","Unknown","10-Jun-19","TRES","Ithaca","Unit_2","103",NA,"12",24.5,26.2,50,6,"Died","P19N191","","Unit_2_103_2019","Color_Stress","Cont_Con",54,6,"Fledged",9,"Color_Stress_Cont_Con"
"254","281128725","2019","Nestling","Unknown","10-Jun-19","TRES","Ithaca","Unit_2","103",NA,"12",23.25,25.6,56,6,"Fledged","","","Unit_2_103_2019","Color_Stress","Cont_Con",54,6,"Fledged",9,"Color_Stress_Cont_Con"
"255","212110294","2019","Adult","F","11-Jun-19","TRES","Ithaca","Unit_1","90","3","ASY",17.75,27.7,113,NA,"","P19N192","Telomere sample taken (needlessly), but left in fridge overnight","Unit_1_90_2019","Color_Stress","Pred_Con",52,5,"Died",10.4,"Color_Stress_Pred_Con"
"256","272106655","2019","Adult","F","11-Jun-19","TRES","Ithaca","Turkey_Hill","3","3","ASY",18.25,NA,NA,NA,"","","","Turkey_Hill_3_2019","Light","Light",65.25,5,"Fledged",13.05,"Light_Light"
"257","272106974","2019","Adult","M","11-Jun-19","TRES","Ithaca","Unit_2","82","1","AHY",19,28.5,121,NA,"","P19N198","","Unit_2_82_2019","Color_Stress","Cont_Con",73,6,"Died",12.1666666666667,"Color_Stress_Cont_Con"
"258","272107161","2019","Adult","F","11-Jun-19","TRES","Ithaca","Unit_2","124","2","ASY",18.5,NA,NA,NA,"","","","Unit_2_124_2019","Color_Stress","Cont_Con",NA,NA,"Abandoned",NA,"Color_Stress_Cont_Con"
"259","272107698","2019","Adult","F","11-Jun-19","TRES","Ithaca","Unit_2","122","3","ASY",18.5,28.6,111,NA,"","P19N193","Nesting Day 6 mass: 64g/5 chicks","Unit_2_122_2019","Color_Stress","Pred_Con",64,5,"Died",12.8,"Color_Stress_Pred_Con"
"260","278171871","2019","Adult","F","11-Jun-19","TRES","Ithaca","Unit_2","1","3","ASY",19,28.7,115,NA,"","P19N195","Day 6 Mass: 62g/6 nestlings.
Captures #1 ans #2 were marked as SY.","Unit_2_1_2019","Color_Stress","Cont_Dul",62,6,"Died",10.3333333333333,"Color_Stress_Cont_Dul"
"261","278171873","2019","Adult","F","11-Jun-19","TRES","Ithaca","Unit_2","82","3","SY",16.25,27.4,108,NA,"","P19N197","Has pox on both feet
Day 6 mass: 73g / 6 nestlings","Unit_2_82_2019","Color_Stress","Cont_Con",73,6,"Died",12.1666666666667,"Color_Stress_Cont_Con"
"262","278172151","2019","Adult","F","11-Jun-19","TRES","Ithaca","Unit_2","32","3","ASY",17.5,28.7,119,NA,"","","Day 6 nestling mass: 68g / 5 nestlings
The age of this bird was recored as SY on captures 1 and 2.","Unit_2_32_2019","Color_Stress","Cont_Dul",68,5,"Died",13.6,"Color_Stress_Cont_Dul"
"263","278172152","2019","Adult","F","11-Jun-19","TRES","Ithaca","Unit_2","41","3","SY",19,28.6,116,NA,"","","51g for 4N","Unit_2_41_2019","Color_Stress","Cont_Con",51,4,"Fledged",12.75,"Color_Stress_Cont_Con"
"264","278172154","2019","Adult","F","11-Jun-19","TRES","Ithaca","Unit_2","75","3","SY",17,29,115,NA,"","P19N194","At third capture female entered trap without it setting
Day 6 Mass: 74g/6 nestlings","Unit_2_75_2019","Color_Stress","Cont_Dul",74,6,"Fledged",12.3333333333333,"Color_Stress_Cont_Dul"
"265","278172169","2019","Adult","M","11-Jun-19","TRES","Ithaca","Unit_2","32","1","AHY",21,29.1,122,NA,"","P19N196","Telomere sample left in the fridge overnight (transferred to freezer at noon next day)","Unit_2_32_2019","Color_Stress","Cont_Dul",68,5,"Died",13.6,"Color_Stress_Cont_Dul"
"266","278172235","2019","Adult","F","11-Jun-19","TRES","Ithaca","Unit_1","83","2","SY",17.5,NA,NA,NA,"","","","Unit_1_83_2019","Color_Stress","Cont_Dul",20,2,"Died",10,"Color_Stress_Cont_Dul"
"267","278172401","2019","Adult","F","11-Jun-19","TRES","Ithaca","Turkey_Hill","106","3","ASY",19.5,NA,NA,NA,"","","","Turkey_Hill_106_2019","Light","Light",48.91,5,"Fledged",9.782,"Light_Light"
"268","278172403","2019","Adult","F","11-Jun-19","TRES","Ithaca","Turkey_Hill","121","3","ASY",20.5,NA,NA,NA,"","","","Turkey_Hill_121_2019","Light","Light_Control",70,6,"Fledged",11.6666666666667,"Light_Light_Control"
"269","278172421","2019","Nestling","Unknown","11-Jun-19","TRES","Ithaca","Liddell","39",NA,"12",22,26,51,6,"Fledged","P19N199","Telomere sample was left in the mini fridge over night.","Liddell_39_2019","Light","Light",17.32,6,"Fledged",2.88666666666667,"Light_Light"
"270","278172422","2019","Nestling","Unknown","11-Jun-19","TRES","Ithaca","Liddell","39",NA,"12",21,25,45,6,"Fledged","P19N200","Telomere sample was left in the mini fridge over night.","Liddell_39_2019","Light","Light",17.32,6,"Fledged",2.88666666666667,"Light_Light"
"271","278172423","2019","Nestling","Unknown","11-Jun-19","TRES","Ithaca","Liddell","39",NA,"12",23,NA,48,6,"Fledged","P19N201","Telomere sample was left in the mini fridge over night.
Bill+Head written as 55.2 in data sheet.","Liddell_39_2019","Light","Light",17.32,6,"Fledged",2.88666666666667,"Light_Light"
"272","278172424","2019","Nestling","Unknown","11-Jun-19","TRES","Ithaca","Liddell","39",NA,"12",22,24.8,50,6,"Fledged","P19N202","Telomere sample was left in the mini fridge over night.","Liddell_39_2019","Light","Light",17.32,6,"Fledged",2.88666666666667,"Light_Light"
"273","278172425","2019","Nestling","Unknown","11-Jun-19","TRES","Ithaca","Liddell","39",NA,"12",24,25.8,50,6,"Fledged","P19N203","Telomere sample was left in the mini fridge over night.","Liddell_39_2019","Light","Light",17.32,6,"Fledged",2.88666666666667,"Light_Light"
"274","278172426","2019","Nestling","Unknown","11-Jun-19","TRES","Ithaca","Liddell","39",NA,"12",23,26.5,48,6,"Fledged","","Telomere sample was left in the mini fridge over night.","Liddell_39_2019","Light","Light",17.32,6,"Fledged",2.88666666666667,"Light_Light"
"275","88004754","2019","Adult","F","12-Jun-19","TRES","Ithaca","Unit_2","29","3","ASY",19,28.6,118,NA,"","P19N209","Day 6 mass: 36g/3N","Unit_2_29_2019","Color_Stress","Pred_Dul",36,3,"Fledged",12,"Color_Stress_Pred_Dul"
"276","232146969","2019","Adult","M","12-Jun-19","TRES","Ithaca","Unit_1","430","1","AHY",20.25,29,118,NA,"","","","Unit_1_430_2019","","Control",NA,NA,"Fledged",NA,"Control"
"277","272106957","2019","Adult","M","12-Jun-19","TRES","Ithaca","Unit_2","41","1","AHY",19.5,28.5,121,NA,"","","","Unit_2_41_2019","Color_Stress","Cont_Con",51,4,"Fledged",12.75,"Color_Stress_Cont_Con"
"278","272107009","2019","Adult","M","12-Jun-19","TRES","Ithaca","Unit_1","301","1","AHY",20.5,29.4,128,NA,"","P19N212","Male  just for lysis and telomere","Unit_1_301_2019","","Control",NA,NA,"Fledged",NA,"Control"
"279","272107599","2019","Adult","F","12-Jun-19","TRES","Ithaca","Unit_4","80","3","ASY",19.5,NA,NA,NA,"","P19N214","","Unit_4_80_2019","Light","Light",72.86,6,"Fledged",12.1433333333333,"Light_Light"
"280","272107634","2019","Adult","M","12-Jun-19","TRES","Ithaca","Unit_1","90","1","AHY",20.5,29,118,NA,"","P19N218","","Unit_1_90_2019","Color_Stress","Pred_Con",52,5,"Died",10.4,"Color_Stress_Pred_Con"
"281","272107815","2019","Adult","M","12-Jun-19","TRES","Ithaca","Unit_2","3","1","AHY",19,29.1,121,NA,"","P19N208","","Unit_2_3_2019","Color_Stress","Cont_Dul",60,5,"Fledged",12,"Color_Stress_Cont_Dul"
"282","278171872","2019","Adult","F","12-Jun-19","TRES","Ithaca","Unit_2","3","3","SY",17,28.5,114,NA,"","P19N207","","Unit_2_3_2019","Color_Stress","Cont_Dul",60,5,"Fledged",12,"Color_Stress_Cont_Dul"
"283","278171875","2019","Adult","F","12-Jun-19","TRES","Ithaca","Unit_2","117","3","SY",18.75,27.5,113.5,NA,"","P19N204","","Unit_2_117_2019","Color_Stress","Pred_Dul",51,6,"Fledged",8.5,"Color_Stress_Pred_Dul"
"284","278171880","2019","Adult","M","12-Jun-19","TRES","Ithaca","Unit_2","127","1","AHY",21,28.7,120,NA,"","P19N217","","Unit_2_127_2019","Color_Stress","Pred_Con",60,5,"Died",12,"Color_Stress_Pred_Con"
"285","278171881","2019","Nestling","Unknown","12-Jun-19","TRES","Ithaca","Unit_2","68",NA,"12",19,24.3,39,6,"Fledged","P19N220","","Unit_2_68_2019","Color_Stress","Cont_Dul",71,6,"Fledged",11.8333333333333,"Color_Stress_Cont_Dul"
"286","278171882","2019","Nestling","Unknown","12-Jun-19","TRES","Ithaca","Unit_2","68",NA,"12",18,24.9,49,6,"Fledged","","","Unit_2_68_2019","Color_Stress","Cont_Dul",71,6,"Fledged",11.8333333333333,"Color_Stress_Cont_Dul"
"287","278171883","2019","Nestling","Unknown","12-Jun-19","TRES","Ithaca","Unit_2","68",NA,"12",19.75,25.4,56,6,"Fledged","P19N223","","Unit_2_68_2019","Color_Stress","Cont_Dul",71,6,"Fledged",11.8333333333333,"Color_Stress_Cont_Dul"
"288","278171884","2019","Nestling","Unknown","12-Jun-19","TRES","Ithaca","Unit_2","68",NA,"12",20.75,25.9,49,6,"Fledged","P19N221","","Unit_2_68_2019","Color_Stress","Cont_Dul",71,6,"Fledged",11.8333333333333,"Color_Stress_Cont_Dul"
"289","278171885","2019","Nestling","Unknown","12-Jun-19","TRES","Ithaca","Unit_2","68",NA,"12",22,24.7,54,6,"Fledged","","*Stress plasma is in a blue tube, and dex plasma is in a green tube. Both tubes are labeled correctly.","Unit_2_68_2019","Color_Stress","Cont_Dul",71,6,"Fledged",11.8333333333333,"Color_Stress_Cont_Dul"
"290","278171886","2019","Nestling","Unknown","12-Jun-19","TRES","Ithaca","Unit_2","68",NA,"12",23.5,26.4,58,6,"Fledged","P19N222","","Unit_2_68_2019","Color_Stress","Cont_Dul",71,6,"Fledged",11.8333333333333,"Color_Stress_Cont_Dul"
"291","278171895","2019","Nestling","Unknown","12-Jun-19","TRES","Ithaca","Unit_2","121",NA,"12",18,25.5,46,1,"Fledged","P19N219","","Unit_2_121_2019","Color_Stress","Cont_Dul",8,1,"Fledged",8,"Color_Stress_Cont_Dul"
"292","278172163","2019","Adult","F","12-Jun-19","TRES","Ithaca","Unit_2","14","2","ASY",20,29.4,116,NA,"","P19N206","","Unit_2_14_2019","Color_Stress","Pred_Dul",40,3,"Fledged",13.3333333333333,"Color_Stress_Pred_Dul"
"293","278172170","2019","Adult","M","12-Jun-19","TRES","Ithaca","Unit_2","75","1","AHY",20.5,28.8,121,NA,"","P19N216","","Unit_2_75_2019","Color_Stress","Cont_Dul",74,6,"Fledged",12.3333333333333,"Color_Stress_Cont_Dul"
"294","278172238","2019","Adult","M","12-Jun-19","TRES","Ithaca","Unit_1","360","1","AHY",20,28.8,121,NA,"","P19N210","","Unit_1_360_2019","","Control",NA,NA,"Fledged",NA,"Control"
"295","278172239","2019","Adult","M","12-Jun-19","TRES","Ithaca","Unit_1","427","1","AHY",19,28.5,119,NA,"","P19N211","","Unit_1_427_2019","","Control",NA,NA,"Died",NA,"Control"
"296","278172240","2019","Nestling","Unknown","12-Jun-19","TRES","Ithaca","Unit_1","305",NA,"12",22,26.3,56,6,"Fledged","","","Unit_1_305_2019","","Control",NA,NA,"Fledged",NA,"Control"
"297","278172241","2019","Nestling","Unknown","12-Jun-19","TRES","Ithaca","Unit_1","305",NA,"12",21,26.5,55,6,"Fledged","","","Unit_1_305_2019","","Control",NA,NA,"Fledged",NA,"Control"
"298","278172242","2019","Nestling","Unknown","12-Jun-19","TRES","Ithaca","Unit_1","305",NA,"12",22.25,26.2,56,6,"Fledged","","","Unit_1_305_2019","","Control",NA,NA,"Fledged",NA,"Control"
"299","278172243","2019","Nestling","Unknown","12-Jun-19","TRES","Ithaca","Unit_1","305",NA,"12",21.5,25.9,53,6,"Fledged","","","Unit_1_305_2019","","Control",NA,NA,"Fledged",NA,"Control"
"300","278172244","2019","Nestling","Unknown","12-Jun-19","TRES","Ithaca","Unit_1","305",NA,"12",23,26.5,58,6,"Fledged","","","Unit_1_305_2019","","Control",NA,NA,"Fledged",NA,"Control"
"301","278172245","2019","Nestling","Unknown","12-Jun-19","TRES","Ithaca","Unit_1","305",NA,"12",22.75,26.3,56,6,"Fledged","","","Unit_1_305_2019","","Control",NA,NA,"Fledged",NA,"Control"
"302","278172246","2019","Nestling","Unknown","12-Jun-19","TRES","Ithaca","Unit_1","380",NA,"12",24,26.9,62,6,"Fledged","","","Unit_1_380_2019","","Control",NA,NA,"Fledged",NA,"Control"
"303","278172247","2019","Nestling","Unknown","12-Jun-19","TRES","Ithaca","Unit_1","380",NA,"12",24,25.9,51,6,"Fledged","","","Unit_1_380_2019","","Control",NA,NA,"Fledged",NA,"Control"
"304","278172248","2019","Nestling","Unknown","12-Jun-19","TRES","Ithaca","Unit_1","380",NA,"12",23.25,25.8,59,6,"Fledged","","","Unit_1_380_2019","","Control",NA,NA,"Fledged",NA,"Control"
"305","278172249","2019","Nestling","Unknown","12-Jun-19","TRES","Ithaca","Unit_1","380",NA,"12",21.5,26,60,6,"Fledged","","","Unit_1_380_2019","","Control",NA,NA,"Fledged",NA,"Control"
"306","278172250","2019","Nestling","Unknown","12-Jun-19","TRES","Ithaca","Unit_1","380",NA,"12",23.75,26.4,58,6,"Fledged","","","Unit_1_380_2019","","Control",NA,NA,"Fledged",NA,"Control"
"307","278172251","2019","Nestling","Unknown","12-Jun-19","TRES","Ithaca","Unit_1","380",NA,"12",23,26.4,61,6,"Fledged","","","Unit_1_380_2019","","Control",NA,NA,"Fledged",NA,"Control"
"308","278172252","2019","Nestling","Unknown","12-Jun-19","TRES","Ithaca","Unit_1","363",NA,"12",22,26,56,4,"Fledged","","","Unit_1_363_2019","","Control",NA,NA,"Fledged",NA,"Control"
"309","278172253","2019","Nestling","Unknown","12-Jun-19","TRES","Ithaca","Unit_1","363",NA,"12",23.5,26.1,60,4,"Fledged","","","Unit_1_363_2019","","Control",NA,NA,"Fledged",NA,"Control"
"310","278172254","2019","Nestling","Unknown","12-Jun-19","TRES","Ithaca","Unit_1","363",NA,"12",23.75,26.6,57,4,"Fledged","","","Unit_1_363_2019","","Control",NA,NA,"Fledged",NA,"Control"
"311","278172255","2019","Nestling","Unknown","12-Jun-19","TRES","Ithaca","Unit_1","363",NA,"12",24.25,26.7,50,4,"Fledged","","","Unit_1_363_2019","","Control",NA,NA,"Fledged",NA,"Control"
"312","278172301","2019","Adult","M","12-Jun-19","TRES","Ithaca","Unit_4","80","1","AHY",20.5,29.3,122,NA,"","P19N215","","Unit_4_80_2019","Light","Light",72.86,6,"Fledged",12.1433333333333,"Light_Light"
"313","278172402","2019","Adult","F","12-Jun-19","TRES","Ithaca","Unit_4","78","3","ASY",21.75,NA,NA,NA,"","P19N213","","Unit_4_78_2019","Light","Light_Control",54.39,5,"Fledged",10.878,"Light_Light_Control"
"314","278172404","2019","Adult","F","12-Jun-19","TRES","Ithaca","Turkey_Hill","51","3","SY",19.5,NA,NA,NA,"","","6/12/19 antennae wasn't there - fell off of the life tage","Turkey_Hill_51_2019","Light","Light_Control",39.5,4,"Fledged",9.875,"Light_Light_Control"
"315","278172427","2019","Adult","M","12-Jun-19","TRES","Ithaca","Turkey_Hill","51","1","AHY",20,27.9,121,NA,"","","bolus: Yes","Turkey_Hill_51_2019","Light","Light_Control",39.5,4,"Fledged",9.875,"Light_Light_Control"
"316","281128726","2019","Adult","M","12-Jun-19","TRES","Ithaca","Unit_2","117","1","AHY",20,26.1,120,NA,"","P19N205","","Unit_2_117_2019","Color_Stress","Pred_Dul",51,6,"Fledged",8.5,"Color_Stress_Pred_Dul"
"317","272107803","2019","Adult","F","13-Jun-19","TRES","Ithaca","Unit_4","87","3","ASY",NA,NA,NA,NA,"","","6/8: Life tag fell off during midnight capture, reglued on
6/13: No life tag and feathers missing, so couldn't reglue. Put new PIT tag on leg, so new RFID on 6/13","Unit_4_87_2019","Light","Light",71,5,"Fledged",14.2,"Light_Light"
"318","278171887","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_2","109",NA,"12",16.5,25,48,5,"Died","","","Unit_2_109_2019","Color_Stress","Cont_Dul",61,5,"Fledged",12.2,"Color_Stress_Cont_Dul"
"319","278171888","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_2","109",NA,"12",17.5,25.5,51,5,"Died","P19N246","","Unit_2_109_2019","Color_Stress","Cont_Dul",61,5,"Fledged",12.2,"Color_Stress_Cont_Dul"
"320","278171889","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_2","109",NA,"12",17,25.3,53,5,"Fledged","P19N247","","Unit_2_109_2019","Color_Stress","Cont_Dul",61,5,"Fledged",12.2,"Color_Stress_Cont_Dul"
"321","278171890","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_2","109",NA,"12",18,25.9,53.5,5,"Fledged","","","Unit_2_109_2019","Color_Stress","Cont_Dul",61,5,"Fledged",12.2,"Color_Stress_Cont_Dul"
"322","278171891","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_2","109",NA,"12",18.5,25.8,54,5,"Fledged","","","Unit_2_109_2019","Color_Stress","Cont_Dul",61,5,"Fledged",12.2,"Color_Stress_Cont_Dul"
"323","278172145","2019","Adult","F","13-Jun-19","TRES","Ithaca","Unit_2","37","1","ASY",21,28.7,119,NA,"","","","Unit_2_37_2019","","",50,4,"Fledged",12.5,"Control"
"324","278172155","2019","Adult","F","13-Jun-19","TRES","Ithaca","Unit_2","15","3","SY",18.25,28,116,NA,"","P19N224","","Unit_2_15_2019","Color_Stress","Pred_Con",52,4,"Died",13,"Color_Stress_Pred_Con"
"325","278172168","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_2","35",NA,"15",16,NA,NA,4,"Fledged","P19N235","","Unit_2_35_2019","Color_Stress","Pred_Dul",55,5,"Fledged",11,"Color_Stress_Pred_Dul"
"326","278172256","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_1","306",NA,"12",19.5,26,49,6,"Fledged","","","Unit_1_306_2019","","Control",NA,NA,"Fledged",NA,"Control"
"327","278172257","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_1","306",NA,"12",19,25.3,52,6,"Fledged","P19N225","","Unit_1_306_2019","","Control",NA,NA,"Fledged",NA,"Control"
"328","278172258","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_1","306",NA,"12",20,25.7,51,6,"Fledged","P19N226","","Unit_1_306_2019","","Control",NA,NA,"Fledged",NA,"Control"
"329","278172259","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_1","306",NA,"12",21,26.2,53,6,"Fledged","P19N227","","Unit_1_306_2019","","Control",NA,NA,"Fledged",NA,"Control"
"330","278172260","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_1","306",NA,"12",19,26.2,54,6,"Fledged","P19N228","","Unit_1_306_2019","","Control",NA,NA,"Fledged",NA,"Control"
"331","278172261","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_1","306",NA,"12",19.5,26,46,6,"Died","P19N229","","Unit_1_306_2019","","Control",NA,NA,"Fledged",NA,"Control"
"332","278172262","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_1","421",NA,"12",20.5,25.9,55,3,"Fledged","P19N230","","Unit_1_421_2019","","Control",NA,NA,"Fledged",NA,"Control"
"333","278172263","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_1","421",NA,"12",21.25,25.5,60,3,"Fledged","P19N231","","Unit_1_421_2019","","Control",NA,NA,"Fledged",NA,"Control"
"334","278172264","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_1","421",NA,"12",22.5,24.5,52,3,"Fledged","P19N232","","Unit_1_421_2019","","Control",NA,NA,"Fledged",NA,"Control"
"335","278172265","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_2","120",NA,"12",11.5,23.2,34,7,"Died","","","Unit_2_120_2019","Color_Stress","Cont_Con",71,7,"Fledged",10.1428571428571,"Color_Stress_Cont_Con"
"336","278172266","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_2","120",NA,"12",17,25.3,45,7,"Died","","","Unit_2_120_2019","Color_Stress","Cont_Con",71,7,"Fledged",10.1428571428571,"Color_Stress_Cont_Con"
"337","278172267","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_2","120",NA,"12",13.75,23.1,38.5,7,"Died","","","Unit_2_120_2019","Color_Stress","Cont_Con",71,7,"Fledged",10.1428571428571,"Color_Stress_Cont_Con"
"338","278172268","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_2","120",NA,"12",17.5,24.6,47,7,"Fledged","","","Unit_2_120_2019","Color_Stress","Cont_Con",71,7,"Fledged",10.1428571428571,"Color_Stress_Cont_Con"
"339","278172269","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_2","120",NA,"12",18.5,24.5,51,7,"Fledged","P19N241","","Unit_2_120_2019","Color_Stress","Cont_Con",71,7,"Fledged",10.1428571428571,"Color_Stress_Cont_Con"
"340","278172270","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_2","120",NA,"12",16.5,24.5,50,7,"Fledged","P19N242","","Unit_2_120_2019","Color_Stress","Cont_Con",71,7,"Fledged",10.1428571428571,"Color_Stress_Cont_Con"
"341","278172271","2019","Nestling","Unknown","13-Jun-19","TRES","Ithaca","Unit_2","120",NA,"12",14.5,24.3,44,7,"Died","P19N243","","Unit_2_120_2019","Color_Stress","Cont_Con",71,7,"Fledged",10.1428571428571,"Color_Stress_Cont_Con"
