"","sampleID","Individual_Band","Age","Site","Nest","TotalReads"
"G2xP19N144","P19N144","278171877","SY","Unit_2","9",461
"G3xP19N152","P19N152","278172236","AHY","Unit_1","345",4896
"G4xP19N161","P19N161","281128403","SY","Unit_2","94",916
"G5xP19N178","P19N178","278172153","SY","Unit_2","127",29764
"G6xP19N194","P19N194","278172154","SY","Unit_2","75",61132
"G7xP19N207","P19N207","278171872","SY","Unit_2","3",58892
"G8xP19N217","P19N217","278171880","AHY","Unit_2","127",144189
"G9xP19N265","P19N265","278172158","SY","Unit_2","105",156209
"H01xL19N011d","L19N011d",NA,"6","Unit_4","80",7853
"H01xP19N121","P19N121","278172161","AHY","Unit_2","6",967
"H01xP19N127","P19N127","278172158","SY","Unit_2","105",5916
"H01xP19N256","P19N256","272107450","SY","Turkey_Hill","86",29305
"H01xP19N300","P19N300","278172320","12","Unit_4","97",47178
"H01xP19N510","P19N510","281128784","12","Unit_1","79",16931
"H02xL19N014b","L19N014b",NA,"6","Unit_4","71",15820
"H02xP19N061","P19N061","278171896","SY","Unit_2","78",11527
"H02xP19N269","P19N269","278171895","15","Unit_2","121",17257
"H02xP19N330","P19N330","278172440","12","Turkey_Hill","121",40193
"H02xP19N456","P19N456","281128766","15","Unit_2","9",2912
"H03xL19N017a","L19N017a",NA,"6","Turkey_Hill","97",799
"H03xP19N074","P19N074","259122557","AHY","Unit_2","111",14164
"H03xP19N277","P19N277","281128746","12","Unit_1","105",39155
"H03xP19N358","P19N358","278172449","12","Unit_4","80",33649
"H03xP19N467","P19N467","281128681","15","Unit_1","86",2723
"H04xP19N086","P19N086","272106708","ASY","Unit_1","357",71381
"H04xP19N117","P19N117","278171875","SY","Unit_2","117",14030
"H04xP19N119","P19N119","281128707","ASY","Unit_1","329",147
"H04xP19N365","P19N365","278172458","12","Turkey_Hill","51",47665
"H04xP19N474","P19N474","281128529","15","Unit_2","85",66268
"H05xP19N052","P19N052","281128402","SY","Unit_2","20",67654
"H05xP19N221","P19N221","278171884","12","Unit_2","68",38
