"","sampleID","Individual_Band","Age","Site","Nest","TotalReads"
"D04xP19N362","P19N362","278172454","12","Unit_4","78",15193
"D05xP19N091","P19N091","281128705","SY","Unit_1","319",21527
"D05xP19N292","P19N292","281128804","12","Unit_1","81",16573
"D05xP19N377","P19N377","278172463","12","Unit_4","87",29883
"D05xP19N414","P19N414","281128766","12","Unit_2","9",6500
"D05xP19N480","P19N480","278172289","12","Unit_2","72",28845
"D06xP19N098","P19N098","278171876","SY","Unit_2","107",13177
"D06xP19N226","P19N226","278172258","12","Unit_1","306",30171
"D06xP19N325","P19N325","278172277","15","Unit_2","116",60
"D06xP19N396","P19N396","278172478","12","Unit_4","18",16539
"D06xP19N489","P19N489","281128769","15","Unit_2","34",36986
"D07xP19N109","P19N109","281128706","SY","Unit_1","342",27633
"D07xP19N233","P19N233","281128716","15","Unit_2","35",32140
"D07xP19N342","P19N342","278172305","15","Unit_2","94",8571
"D07xP19N422","P19N422","278172481","12","Unit_4","12",25215
"D08xP19N004","P19N004","278172146","SY","Unit_2","44",71363
"D08xP19N116","P19N116","278171873","SY","Unit_2","82",4882
"D08xP19N241","P19N241","278172269","12","Unit_2","120",129
"D08xP19N350","P19N350","281128509","12","Unit_2","3",17
"D08xP19N449","P19N449","278172488","12","Turkey_Hill","97",23962
"D09xP19N056","P19N056","278172403","ASY","Turkey_Hill","121",25491
"D09xP19N168","P19N168","281128710","15","Unit_2","111",654
"D09xP19N185","P19N185","278172419","SY","Turkey_Hill","116",53
"D09xP19N250","P19N250","281128739","12","Unit_2","39",94
"D09xP19N381","P19N381","281128503","15","Unit_2","41",3620
"D10xL19N005d","L19N005d",NA,"6","Unit_4","94",4306
"D10xP19N019","P19N019","278172097","SY","Unit_1","306",7000
"D10xP19N088","P19N088","278172406","SY","Unit_4","18",8756
"D10xP19N309","P19N309","281128601","SY","Unit_2","99",8913
"D10xP19N389","P19N389","281128751","12","Unit_2","62",41
"D11xL19N019a","L19N019a",NA,"6","Unit_4","84",3189
"D11xP19N063","P19N063","272106817","ASY","Unit_2","22",22
"D11xP19N252","P19N252","281128734","12","Unit_2","20",47871
"D11xP19N317","P19N317","272107361","SY","Unit_2","31",1968
"D11xP19N430","P19N430","281128682","12","Unit_1","86",10992
"D12xL19N008f","L19N008f",NA,"6","Turkey_Hill","121",3353
"D12xP19N039","P19N039","272106822","ASY","Unit_2","68",49
"D12xP19N278","P19N278","278172307","12","Turkey_Hill","11",23310
"D12xP19N340","P19N340","278172233","SY","Unit_1","86",9440
"D12xP19N442","P19N442","281128444","12","Unit_2","54",2145
"D1xP19N134","P19N134","278172150","SY","Unit_2","80",616
"D1xP19N403","P19N403","278172235","SY","Unit_1","83",48966
"D2xP19N142","P19N142","278171876","SY","Unit_2","107",10060
"D2xP19N494","P19N494","278171397","AHY","Unit_1","79",23073
"D3xP19N149","P19N149","278172160","ASY","Unit_2","64",233
"D4xP19N158","P19N158","281128701","SY","Unit_1","105",325
"D5xP19N176","P19N176","278171870","SY","Unit_2","12",24237
"D6xP19N183","P19N183","272107809","ASY","Unit_1","81",29744
"D7xP19N204","P19N204","278171875","SY","Unit_2","117",66815
"D8xP19N212","P19N212","272107009","AHY","Unit_1","301",62598
"D9xP19N262","P19N262","272107335","AHY","Unit_2","15",38307
"E01xL19N011a","L19N011a",NA,"6","Unit_4","80",90794
"E01xP19N131","P19N131","281128709","12","Unit_2","111",71505
"E01xP19N190","P19N190","281128723","12","Unit_2","103",16811
"E01xP19N298","P19N298","278172318","12","Unit_4","97",5918
"E01xP19N507","P19N507","281128781","12","Unit_2","50",18624
"E02xL19N012c","L19N012c",NA,"6","Unit_4","87",57498
"E02xP19N120","P19N120","278172162","SY","Unit_2","34",52000
"E02xP19N254","P19N254","281128736","12","Unit_2","20",57834
"E02xP19N305","P19N305","278172437","12","Turkey_Hill","106",32193
"E03xL19N015c","L19N015c",NA,"6","Unit_4","93",58865
"E03xL19N020c","L19N020c",NA,"6","Unit_4","15",27144
"E03xP19N069","P19N069","278172229","SY","Unit_1","393",14657
"E03xP19N274","P19N274","278172306","12","Unit_2","94",46184
"E03xP19N355","P19N355","278172446","12","Unit_4","80",7486
"E04xL19N018c","L19N018c",NA,"6","Unit_4","61",22709
"E04xP19N083","P19N083","281128702","SY","Unit_1","65",30
"E04xP19N286","P19N286","278171889","15","Unit_2","109",25203
"E04xP19N363","P19N363","278172455","12","Turkey_Hill","51",27857
"E04xP19N471","P19N471","281128438","15","Unit_2","31",95143
"E05xP19N092","P19N092","262126105","AHY","Unit_2","122",5340
"E05xP19N378","P19N378","278172464","12","Unit_4","87",14422
"E05xP19N415","P19N415","281128767","12","Unit_2","9",121
"E05xP19N481","P19N481","278172290","12","Unit_2","72",10779
"E06xP19N102","P19N102","278172232","SY","Unit_1","134",70007
"E06xP19N227","P19N227","278172259","12","Unit_1","306",48750
"E06xP19N326","P19N326","278172279","15","Unit_2","116",16614
"E06xP19N397","P19N397","278172466","12","Unit_4","93",43438
"E06xP19N490","P19N490","281128770","15","Unit_2","34",79748
"E07xP19N110","P19N110","272107786","ASY","Unit_2","103",13321
"E07xP19N234","P19N234","281128719","15","Unit_2","35",44381
"E07xP19N343","P19N343","281128744","15","Unit_1","105",35918
"E07xP19N516","P19N516","281128781","15","Unit_2","50",76979
"E08xL19N019c","L19N019c",NA,"6","Unit_4","84",22
"E08xP19N006","P19N006","212110278","ASY","Unit_1","349",9165
"E08xP19N242","P19N242","278172270","12","Unit_2","120",13367
"E08xP19N351","P19N351","281128510","12","Unit_2","3",8877
"E08xP19N463","P19N463","278172491","12","Unit_4","61",18466
"E09xP19N014","P19N014","278172147","ASY","Unit_2","101",98236
"E09xP19N065","P19N065","272107803","ASY","Unit_4","87",17662
"E09xP19N382","P19N382","281128504","15","Unit_2","41",63962
"E09xP19N450","P19N450","281128752","15","Unit_2","62",3960
"E10xL19N006a","L19N006a",NA,"6","Turkey_Hill","3",34642
"E10xP19N012","P19N012","281128401","SY","Unit_2","87",164
"E10xP19N020","P19N020","272106913","ASY","Unit_2","120",37275
"E10xP19N099","P19N099","272107290","ASY","Turkey_Hill","97",27316
"E10xP19N310","P19N310","278171894","AHY","Unit_2","99",44079
"E10xP19N390","P19N390","281128756","12","Unit_2","105",59518
"E11xL19N007d","L19N007d",NA,"6","Turkey_Hill","106",30554
"E11xP19N096","P19N096","272106728","ASY","Unit_2","54",176
"E11xP19N367","P19N367","278172412","SY","Unit_4","61",20327
"E11xP19N431","P19N431","281128525","12","Unit_2","78",68538
"E12xL19N009a","L19N009a",NA,"6","Turkey_Hill","51",47586
"E12xP19N041","P19N041","281128701","SY","Unit_1","105",76447
"E12xP19N279","P19N279","278172308","12","Turkey_Hill","11",13832
"E12xP19N341","P19N341","272107529","AHY","Unit_1","86",19063
"E12xP19N443","P19N443","281128445","12","Unit_2","54",8706
"E1xP19N135","P19N135","278172164","AHY","Unit_2","80",112
"E1xP19N404","P19N404","278171893","AHY","Unit_1","83",54952
"E2xP19N143","P19N143","272106728","ASY","Unit_2","54",32
"E2xP19N495","P19N495","281128773","AHY","Unit_2","50",8428
"E3xP19N150","P19N150","272107361","SY","Unit_2","31",266
"E4xP19N159","P19N159","281128604","SY","Unit_2","114",160
"E6xP19N192","P19N192","212110294","ASY","Unit_1","90",3809
"E7xP19N205","P19N205","281128726","AHY","Unit_2","117",55371
"E9xP19N263","P19N263","156181153","SY","Unit_2","57",18714
"F01xL19N011b","L19N011b",NA,"6","Unit_4","80",58604
"F01xP19N050","P19N050","278172150","SY","Unit_2","80",13484
"F01xP19N191","P19N191","281128724","12","Unit_2","103",24149
"F01xP19N299","P19N299","278172319","12","Unit_4","97",38912
"F01xP19N508","P19N508","281128782","12","Unit_2","50",2266
"F02xL19N013a","L19N013a",NA,"6","Turkey_Hill","86",59464
"F02xP19N059","P19N059","278171875","SY","Unit_2","117",24298
"F02xP19N260","P19N260","278172278","12","Unit_2","116",45236
"F02xP19N328","P19N328","278172438","12","Turkey_Hill","121",19676
"F02xP19N453","P19N453","281128756","15","Unit_2","105",594
"F03xL19N016a","L19N016a",NA,"6","Unit_4","95",33564
"F03xP19N070","P19N070","272107699","ASY","Unit_1","430",17226
"F03xP19N246","P19N246","278171888","12","Unit_2","109",42464
"F03xP19N275","P19N275","281128743","12","Unit_1","105",45857
"F03xP19N356","P19N356","278172447","12","Unit_4","80",24626
"F04xL19N018d","L19N018d",NA,"6","Unit_4","61",16248
"F04xP19N084","P19N084","278172231","SY","Unit_1","34",8694
"F04xP19N287","P19N287","281128733","15","Unit_2","20",72366
"F04xP19N364","P19N364","278172457","12","Turkey_Hill","51",30603
"F04xP19N472","P19N472","281128525","15","Unit_2","78",36654
"F05xP19N093","P19N093","278171870","SY","Unit_2","12",5797
"F05xP19N219","P19N219","278171895","12","Unit_2","121",12857
"F05xP19N416","P19N416","281128760","12","Unit_2","57",55265
"F05xP19N482","P19N482","278172291","12","Unit_2","72",71334
"F06xP19N103","P19N103","278172233","SY","Unit_1","86",6341
"F06xP19N228","P19N228","278172260","12","Unit_1","306",33447
"F06xP19N327","P19N327","278172280","15","Unit_2","116",27676
"F06xP19N398","P19N398","278172467","12","Unit_4","93",34084
"F06xP19N491","P19N491","281128771","15","Unit_2","34",62835
"F07xP19N111","P19N111","272106664","AHY","Unit_2","103",34917
"F07xP19N235","P19N235","278172168","15","Unit_2","35",18198
"F07xP19N344","P19N344","281128745","15","Unit_1","105",32279
"F07xP19N434","P19N434","278172482","12","Unit_4","95",23291
